date,open,high,low,close,volume
2021-09-23,309.52,322.0,305.2,311.91,70528.71
2021-09-22,314.0,316.66,305.04,311.0,70467.71
2021-09-17,293.5,320.0,293.5,316.86,106779.98
2021-09-16,287.66,299.53,286.85,297.25,73315.42
2021-09-15,299.15,299.2,287.0,289.98,81078.67
2021-09-14,297.8,304.22,295.0,299.59,82597.05
2021-09-13,288.37,307.92,287.5,293.22,101832.69
2021-09-10,277.88,296.6,274.0,289.7,116094.34
2021-09-09,274.01,279.62,271.99,275.4,49869.04
2021-09-08,288.18,288.2,275.0,275.46,65306.76
2021-09-07,280.3,290.28,275.1,285.18,95114.01
2021-09-06,265.99,285.0,261.68,280.77,123698.96
2021-09-03,267.25,270.6,256.6,267.14,100693.79
2021-09-02,279.87,282.82,266.0,268.02,85407.71
2021-09-01,274.45,285.77,262.48,278.99,128984.25
2021-08-31,278.31,282.0,271.6,277.52,71393.9
2021-08-30,284.0,286.32,271.71,279.97,94894.98
2021-08-27,276.5,293.1,273.0,281.0,122904.56
2021-08-26,282.54,282.54,270.0,275.8,79128.64
2021-08-25,281.57,288.0,280.88,284.55,74892.56
2021-08-24,273.0,282.92,268.82,278.1,105099.65
2021-08-23,280.2,282.0,265.0,270.2,141648.09
2021-08-20,289.9,292.2,269.3,272.04,164140.73
2021-08-19,302.67,307.8,295.72,299.11,80662.75
2021-08-18,305.61,309.58,295.0,304.45,82444.14
2021-08-17,327.61,327.63,302.0,304.61,87285.18
2021-08-16,323.0,329.9,321.0,327.6,46687.28
2021-08-13,320.39,326.64,318.18,322.7,48493.9
2021-08-12,322.98,329.99,319.95,321.0,55972.69
2021-08-11,327.0,334.71,320.0,324.2,83087.64
2021-08-10,310.67,336.0,301.74,332.49,134896.69
2021-08-09,305.0,316.6,304.2,309.99,87262.99
2021-08-06,308.73,315.74,300.2,308.88,78718.0
2021-08-05,300.0,317.9,293.88,309.25,82716.57
2021-08-04,310.0,315.9,300.99,309.0,76926.37
2021-08-03,303.0,318.32,292.0,313.68,118640.57
2021-08-02,273.0,313.57,267.36,311.03,212680.31
2021-07-30,309.0,309.0,283.5,286.0,168203.48
2021-07-29,330.0,338.0,311.1,315.0,105902.64
2021-07-28,315.92,323.89,299.01,321.85,140609.52
2021-07-27,318.36,338.98,318.0,321.36,119572.81
2021-07-26,353.16,353.32,319.29,320.0,146729.84
2021-07-23,357.0,360.0,349.0,354.77,59366.31
2021-07-22,369.0,380.77,357.0,359.68,90692.07
2021-07-21,371.0,374.5,361.0,367.9,88967.15
2021-07-20,371.0,376.39,368.0,371.5,52579.71
2021-07-19,366.0,378.72,363.5,373.8,58606.93
2021-07-16,372.51,379.45,365.41,370.11,69481.23
2021-07-15,357.06,376.61,350.0,374.15,98954.14
2021-07-14,339.2,358.88,336.36,355.53,108376.5
2021-07-13,335.0,342.0,318.2,341.2,135899.84
2021-07-12,316.88,316.88,294.2,311.0,93875.49
2021-07-09,337.6,337.6,312.0,316.7,106359.21
2021-07-08,330.0,350.0,330.0,339.0,94649.61
2021-07-07,318.69,329.71,317.01,327.99,67024.9
2021-07-06,320.0,328.88,312.0,321.0,87507.42
2021-07-05,309.02,337.61,308.0,328.76,85274.97
2021-07-02,455.63,455.84,432.39,433.88,64913.85
2021-07-01,450.0,463.88,442.5,462.0,46033.34
2021-06-30,450.34,459.99,444.71,448.0,36446.44
2021-06-29,449.73,466.0,446.6,448.7,53682.31
2021-06-28,446.71,449.8,440.0,446.12,47306.95
2021-06-25,446.71,451.0,434.0,446.71,52742.5
2021-06-24,430.0,450.0,417.05,443.6,81140.67
2021-06-23,476.5,476.5,432.0,434.04,108282.75
2021-06-22,470.0,475.63,458.0,474.0,44544.88
2021-06-21,485.0,488.0,446.08,471.3,76980.08
2021-06-18,495.9,498.0,480.01,489.06,50271.94
2021-06-17,485.0,499.79,477.03,497.21,44341.84
2021-06-16,489.92,490.95,467.67,480.98,42623.08
2021-06-15,470.07,487.85,466.71,486.0,49048.93
2021-06-11,482.2,485.0,464.06,470.25,61774.55
2021-06-10,463.0,487.9,458.01,487.31,63693.69
2021-06-09,452.01,470.63,447.06,466.0,63060.69
2021-06-08,498.0,502.0,450.0,462.36,102841.43
2021-06-07,484.02,503.0,483.0,498.89,57026.96
2021-06-04,471.9,483.33,471.82,479.2,41047.98
2021-06-03,454.21,486.2,454.21,471.81,59441.36
2021-06-02,461.78,463.6,450.04,454.5,32190.6
2021-06-01,462.46,464.97,451.0,459.98,36054.07
2021-05-31,455.51,463.6,448.06,462.87,42506.6
2021-05-28,447.31,460.0,441.01,452.4,40782.03
2021-05-27,443.25,452.0,436.5,443.5,46640.69
2021-05-26,457.0,462.39,442.2,449.0,50308.93
2021-05-25,452.0,464.1,450.65,458.65,59526.79
2021-05-24,448.0,454.7,441.57,447.22,39397.56
2021-05-21,456.82,459.8,440.82,448.0,46749.44
2021-05-20,442.33,454.98,442.33,452.7,49524.66
2021-05-19,440.0,447.08,434.5,438.67,31804.16
2021-05-18,442.56,448.01,434.0,445.0,42841.09
2021-05-17,433.7,447.98,432.11,443.27,46383.01
2021-05-14,428.77,445.99,422.0,434.66,48948.09
2021-05-13,417.77,430.0,412.16,425.06,41978.68
2021-05-12,404.64,428.0,401.0,424.5,63433.05
2021-05-11,396.38,408.0,394.0,407.79,50490.48
2021-05-10,391.0,405.88,388.0,396.0,49440.83
2021-05-07,406.02,415.0,398.11,401.22,44519.61
2021-05-06,405.0,413.0,394.19,406.36,46885.1
2021-04-30,410.1,418.5,403.5,410.25,46026.29
2021-04-29,428.0,432.94,397.0,416.0,107311.19
